PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"16181009","Variation in pediatric aerosol delivery: importance of facemask","Smaldone GC, Berg E, Nikander K.","J Aerosol Med. 2005 Fall;18(3):354-63. doi: 10.1089/jam.2005.18.354.","Smaldone GC","J Aerosol Med","2005","2005/09/27","","","10.1089/jam.2005.18.354"
"27782097","Association between Low Dietary Protein Intake and Geriatric Nutrition Risk Index in Patients with Chronic Kidney Disease: A Retrospective Single-Center Cohort Study","Kiuchi A, Ohashi Y, Tai R, Aoki T, Mizuiri S, Ogura T, Aikawa A, Sakai K.","Nutrients. 2016 Oct 23;8(10):662. doi: 10.3390/nu8100662.","Kiuchi A","Nutrients","2016","2016/10/27","PMC5084048","","10.3390/nu8100662"
"25105590","Nanoporous silicon nitride membranes fabricated from porous nanocrystalline silicon templates","DesOrmeaux JP, Winans JD, Wayson SE, Gaborski TR, Khire TS, Striemer CC, McGrath JL.","Nanoscale. 2014 Sep 21;6(18):10798-805. doi: 10.1039/c4nr03070b. Epub 2014 Aug 8.","DesOrmeaux JP","Nanoscale","2014","2014/08/09","","","10.1039/c4nr03070b"
"10624635","High-quality filtration allows reuse of anesthesia breathing circuits resulting in cost savings and reduced medical waste","Daggan R, Zefeiridis A, Steinberg D, Larijani G, Gratz I, Goldberg ME.","J Clin Anesth. 1999 Nov;11(7):536-9. doi: 10.1016/s0952-8180(99)00083-5.","Daggan R","J Clin Anesth","1999","2000/01/07","","","10.1016/s0952-8180(99)00083-5"
"17411405","Jet nebulizers versus pressurized metered dose inhalers with valved holding chambers: effects of the facemask on aerosol delivery","Nikander K, Berg E, Smaldone GC.","J Aerosol Med. 2007;20 Suppl 1:S46-55; discussion S55-8. doi: 10.1089/jam.2007.0588.","Nikander K","J Aerosol Med","2007","2007/04/07","","","10.1089/jam.2007.0588"
"16700603","Magnetically and biologically active bead-patterned hydrogels","Pregibon DC, Toner M, Doyle PS.","Langmuir. 2006 May 23;22(11):5122-8. doi: 10.1021/la0534625.","Pregibon DC","Langmuir","2006","2006/05/17","","","10.1021/la0534625"
"20858563","Fluorescent properties of organic carbon in cave dripwaters: effects of filtration, temperature and pH","Hartland A, Fairchild IJ, Lead JR, Baker A.","Sci Total Environ. 2010 Nov 1;408(23):5940-50. doi: 10.1016/j.scitotenv.2010.08.040. Epub 2010 Sep 21.","Hartland A","Sci Total Environ","2010","2010/09/23","","","10.1016/j.scitotenv.2010.08.040"
"5280579","Studies on dental aerobiology. 3. Efficacy of surgical masks in protecting dental personnel from airborne bacterial particles","Micik RE, Miller RL, Leong AC.","J Dent Res. 1971 May-Jun;50(3):626-30. doi: 10.1177/00220345710500031801.","Micik RE","J Dent Res","1971","1971/05/01","","","10.1177/00220345710500031801"
"6931219","Dust in dental laboratories. Part III: Efficiency of ventilation systems and face masks","Brune D, Beltesbrekke H.","J Prosthet Dent. 1980 Aug;44(2):211-5. doi: 10.1016/0022-3913(80)90141-9.","Brune D","J Prosthet Dent","1980","1980/08/01","","","10.1016/0022-3913(80)90141-9"
"26166842","Development of a new test system to determine penetration of multi-walled carbon nanotubes through filtering facepiece respirators","Vo E, Zhuang Z.","J Aerosol Sci. 2013 Jul;61:50-59. doi: 10.1016/j.jaerosci.2013.01.011.","Vo E","J Aerosol Sci","2013","2015/07/14","PMC4496333","NIHMS698596","10.1016/j.jaerosci.2013.01.011"
"22752098","Measurement of protection factor of respiratory protective devices toward nanoparticles","Brochot C, Michielsen N, Chazelet S, Thomas D.","Ann Occup Hyg. 2012 Jul;56(5):595-605. doi: 10.1093/annhyg/mes032.","Brochot C","Ann Occup Hyg","2012","2012/07/04","","","10.1093/annhyg/mes032"
"10080084","Micromachining in plastics using X-ray lithography for the fabrication of microelectrophoresis devices","Ford SM, Davies J, Kar B, Qi SD, McWhorter S, Soper SA, Malek CK.","J Biomech Eng. 1999 Feb;121(1):13-21. doi: 10.1115/1.2798035.","Ford SM","J Biomech Eng","1999","1999/03/18","","","10.1115/1.2798035"
"17458463","Development of cleaner-burning brick kilns in Ciudad Juarez, Chihuahua, Mexico","Bruce CW, Corral AY, Lara AS.","J Air Waste Manag Assoc. 2007 Apr;57(4):444-56. doi: 10.3155/1047-3289.57.4.444.","Bruce CW","J Air Waste Manag Assoc","2007","2007/04/27","","","10.3155/1047-3289.57.4.444"
"8528720","A new mask filter cartridge used to determine applicator inhalation exposure to an alachlor herbicide (Lasso) during normal spraying operations","Flaherty DK, Taylor PM, Hopkins WE 2nd, Holland ME, Schlueter DP.","J Occup Environ Med. 1995 Sep;37(9):1116-21. doi: 10.1097/00043764-199509000-00013.","Flaherty DK","J Occup Environ Med","1995","1995/09/01","","","10.1097/00043764-199509000-00013"
"11236040","Comparison of handling and acceptability of two spacer devices in young children with asthma","Brand PL, van der Baan-Slootweg OH, Heynens JW, de Vries TW, Versteegh FG, Vreuls RC, den Ouden WJ, Smit FJ.","Acta Paediatr. 2001 Feb;90(2):133-6. doi: 10.1080/080352501300049226.","Brand PL","Acta Paediatr","2001","2001/03/10","","","10.1080/080352501300049226"
"23726423","A new method for the production of low-fat Cheddar cheese","Amelia I, Drake M, Nelson B, Barbano DM.","J Dairy Sci. 2013 Aug;96(8):4870-84. doi: 10.3168/jds.2012-6542. Epub 2013 May 30.","Amelia I","J Dairy Sci","2013","2013/06/04","","","10.3168/jds.2012-6542"
"20608878","Fireground use of an emergency escape respirator","Cone DC, Van Gelder CM, MacMillan D.","Prehosp Emerg Care. 2010 Oct-Dec;14(4):433-8. doi: 10.3109/10903127.2010.493989.","Cone DC","Prehosp Emerg Care","2010","2010/07/09","","","10.3109/10903127.2010.493989"
"9149570","Aerosol delivery during continuous nebulization","McPeck M, Tandon R, Hughes K, Smaldone GC.","Chest. 1997 May;111(5):1200-5. doi: 10.1378/chest.111.5.1200.","McPeck M","Chest","1997","1997/05/01","","","10.1378/chest.111.5.1200"
"11449268","Ion-beam sculpting at nanometre length scales","Li J, Stein D, McMullan C, Branton D, Aziz MJ, Golovchenko JA.","Nature. 2001 Jul 12;412(6843):166-9. doi: 10.1038/35084037.","Li J","Nature","2001","2001/07/13","","","10.1038/35084037"
"1203649","The efficiency of surgical masks of varying design and composition","Quesnel LB.","Br J Surg. 1975 Dec;62(12):936-40. doi: 10.1002/bjs.1800621203.","Quesnel LB","Br J Surg","1975","1975/12/01","PMC7161878","","10.1002/bjs.1800621203"
"22047377","Automated bone removal in CT angiography: comparison of methods based on single energy and dual energy scans","van Straten M, Schaap M, Dijkshoorn ML, Greuter MJ, van der Lugt A, Krestin GP, Niessen WJ.","Med Phys. 2011 Nov;38(11):6128-37. doi: 10.1118/1.3651475.","van Straten M","Med Phys","2011","2011/11/04","","","10.1118/1.3651475"
"22727245","Fully automatic algorithm for the analysis of vessels in the angiographic image of the eye fundus","Koprowski R, Teper SJ, Węglarz B, Wylęgała E, Krejca M, Wróbel Z.","Biomed Eng Online. 2012 Jun 22;11:35. doi: 10.1186/1475-925X-11-35.","Koprowski R","Biomed Eng Online","2012","2012/06/26","PMC3458903","","10.1186/1475-925X-11-35"
"10712727","Filters and Ayre's T-piece","Marcus R, Wandless J, Thompson J.","Paediatr Anaesth. 1999;9(1):93.","Marcus R","Paediatr Anaesth","1999","2000/03/11","","",""
"18192662","Foot-and-mouth disease and the use of face masks","Donaldson AI.","Vet Rec. 2008 Jan 12;162(2):62. doi: 10.1136/vr.162.2.62-a.","Donaldson AI","Vet Rec","2008","2008/01/15","","","10.1136/vr.162.2.62-a"
"16482975","Evaluation of respirator filters for asbestos fibers","Cheng YS, Holmes TD, Fan B.","J Occup Environ Hyg. 2006 Jan;3(1):26-35. doi: 10.1080/15459620500444046.","Cheng YS","J Occup Environ Hyg","2006","2006/02/18","","","10.1080/15459620500444046"
"15533931","Assignment of the binding site for haptoglobin on apolipoprotein A-I","Spagnuolo MS, Cigliano L, D'Andrea LD, Pedone C, Abrescia P.","J Biol Chem. 2005 Jan 14;280(2):1193-8. doi: 10.1074/jbc.M411390200. Epub 2004 Nov 8.","Spagnuolo MS","J Biol Chem","2005","2004/11/10","","","10.1074/jbc.M411390200"
"32226102","Numerical simulation of virus diffusion in facemask during breathing cycles","Yi L, Fengzhi L, Qingyong Z.","Int J Heat Mass Transf. 2005 Sep;48(19):4229-4242. doi: 10.1016/j.ijheatmasstransfer.2005.03.030. Epub 2005 Jul 6.","Yi L","Int J Heat Mass Transf","2005","2020/04/01","PMC7094236","","10.1016/j.ijheatmasstransfer.2005.03.030"
"23978386","Hydroxypropyl-β-cyclodextrin impacts renal and systemic hemodynamics in the anesthetized dog","Rosseels ML, Delaunois AG, Hanon E, Guillaume PJ, Martin FD, van den Dobbelsteen DJ.","Regul Toxicol Pharmacol. 2013 Dec;67(3):351-9. doi: 10.1016/j.yrtph.2013.08.013. Epub 2013 Aug 23.","Rosseels ML","Regul Toxicol Pharmacol","2013","2013/08/28","","","10.1016/j.yrtph.2013.08.013"
"26738952","Respiratory Filter Reduces the Cardiovascular Effects Associated With Diesel Exhaust Exposure: A Randomized, Prospective, Double-Blind, Controlled Study of Heart Failure: The FILTER-HF Trial","Vieira JL, Guimaraes GV, de Andre PA, Cruz FD, Saldiva PH, Bocchi EA.","JACC Heart Fail. 2016 Jan;4(1):55-64. doi: 10.1016/j.jchf.2015.07.018.","Vieira JL","JACC Heart Fail","2016","2016/01/08","","","10.1016/j.jchf.2015.07.018"
"6023917","An appraisal of the role of surgical face masks","Ford CR, Peterson DE, Mitchell CR.","Am J Surg. 1967 Jun;113(6):787-90. doi: 10.1016/0002-9610(67)90348-0.","Ford CR","Am J Surg","1967","1967/06/01","","","10.1016/0002-9610(67)90348-0"
"19451183","A prospective, randomised study on the use of well-fitting masks for prevention of invasive aspergillosis in high-risk patients","Maschmeyer G, Neuburger S, Fritz L, Böhme A, Penack O, Schwerdtfeger R, Buchheidt D, Ludwig WD; Infectious Diseases Working Party (AGIHO) of the German Society of Haematology and Oncology.","Ann Oncol. 2009 Sep;20(9):1560-4. doi: 10.1093/annonc/mdp034. Epub 2009 May 18.","Maschmeyer G","Ann Oncol","2009","2009/05/20","","","10.1093/annonc/mdp034"
"22417519","Quality assessment of filtered smoked yellowfin tuna (Thunnus albacares) steaks","Pivarnik LF, Faustman C, Rossi S, Suman SP, Palmer C, Richard NL, Ellis PC, DiLiberti M.","J Food Sci. 2011 Aug;76(6):S369-79. doi: 10.1111/j.1750-3841.2011.02276.x.","Pivarnik LF","J Food Sci","2011","2012/03/16","","","10.1111/j.1750-3841.2011.02276.x"
"22749305","[Sedation with sevoflurane in a procedure outside the operating theatre using the AnaConDa® device]","Marcos Vidal JM, González de Castro R, Higuera Miguélez E, Soria Gulina C.","Rev Esp Anestesiol Reanim. 2013 Feb;60(2):117-8. doi: 10.1016/j.redar.2012.05.032. Epub 2012 Jun 28.","Marcos Vidal JM","Rev Esp Anestesiol Reanim","2013","2012/07/04","","","10.1016/j.redar.2012.05.032"
"14674513","Modern cleanroom clothing systems: people as a contamination source","Reinmüller B, Ljungqvist B.","PDA J Pharm Sci Technol. 2003 Mar-Apr;57(2):114-25.","Reinmüller B","PDA J Pharm Sci Technol","2003","2003/12/17","","",""
"21077846","Noise exposure is increased with neonatal helmet CPAP in comparison with conventional nasal CPAP","Trevisanuto D, Camiletti L, Doglioni N, Cavallin F, Udilano A, Zanardo V.","Acta Anaesthesiol Scand. 2011 Jan;55(1):35-8. doi: 10.1111/j.1399-6576.2010.02356.x. Epub 2010 Nov 15.","Trevisanuto D","Acta Anaesthesiol Scand","2011","2010/11/17","","","10.1111/j.1399-6576.2010.02356.x"
"22733510","Reversed-phase liquid chromatography without organic solvent for determination of tricyclic antidepressants","Fernández-Navarro JJ, Ruiz-Ángel MJ, García-Álvarez-Coque MC.","J Sep Sci. 2012 Jun;35(10-11):1303-9. doi: 10.1002/jssc.201101106.","Fernández-Navarro JJ","J Sep Sci","2012","2012/06/27","","","10.1002/jssc.201101106"
"21572325","Morphologic and functional renal impact of acute kidney injury after prolonged hemorrhagic shock in mice","Mayeur N, Minville V, Jaafar A, Allard J, Al Saati T, Guilbeau-Frugier C, Fourcade O, Girolami JP, Schaak S, Tack I.","Crit Care Med. 2011 Sep;39(9):2131-8. doi: 10.1097/CCM.0b013e31821f04f0.","Mayeur N","Crit Care Med","2011","2011/05/17","","","10.1097/CCM.0b013e31821f04f0"
"22727794","Chronic endothelin-1 infusion elevates glomerular sieving coefficient and proximal tubular albumin reuptake in the rat","Saleh MA, Sandoval RM, Rhodes GJ, Campos-Bilderback SB, Molitoris BA, Pollock DM.","Life Sci. 2012 Oct 15;91(13-14):634-7. doi: 10.1016/j.lfs.2012.06.007. Epub 2012 Jun 19.","Saleh MA","Life Sci","2012","2012/06/26","PMC3728660","NIHMS491815","10.1016/j.lfs.2012.06.007"
"15764530","Respiratory demand during rigorous physical work in a chemical protective ensemble","Kaufman J, Hastings S.","J Occup Environ Hyg. 2005 Feb;2(2):98-110. doi: 10.1080/15459620590909682.","Kaufman J","J Occup Environ Hyg","2005","2005/03/15","","","10.1080/15459620590909682"
"20720091","Detection of airborne bacteria in a German turkey house by cultivation-based and molecular methods","Fallschissel K, Klug K, Kämpfer P, Jäckel U.","Ann Occup Hyg. 2010 Nov;54(8):934-43. doi: 10.1093/annhyg/meq054. Epub 2010 Aug 18.","Fallschissel K","Ann Occup Hyg","2010","2010/08/20","","","10.1093/annhyg/meq054"
"16402919","Large-scale purification and characterization of non-glycosylated Gc globulin (vitamin D-binding protein) from plasma fraction IV","Jørgensen CS, Christiansen M, Laursen I, Krogsøe LB, Højrup P, Blou L, Houen G.","Biotechnol Appl Biochem. 2006 Apr;44(Pt 1):35-44. doi: 10.1042/BA20050209.","Jørgensen CS","Biotechnol Appl Biochem","2006","2006/01/13","","","10.1042/BA20050209"
"2111979","How much aerosol reaches the lungs of wheezy infants and toddlers?","Salmon B, Wilson NM, Silverman M.","Arch Dis Child. 1990 Apr;65(4):401-3. doi: 10.1136/adc.65.4.401.","Salmon B","Arch Dis Child","1990","1990/04/01","PMC1792189","","10.1136/adc.65.4.401"
"11013299","Characterization of the basis of lipoprotein [a] lysine-binding heterogeneity","Xia J, May LF, Koschinsky ML.","J Lipid Res. 2000 Oct;41(10):1578-84.","Xia J","J Lipid Res","2000","2000/10/03","","",""
"19010632","Short- and long-term follow-up of glomerular and tubular renal markers of kidney function in hyperthyroid cats after treatment with radioiodine","van Hoek I, Lefebvre HP, Peremans K, Meyer E, Croubels S, Vandermeulen E, Kooistra H, Saunders JH, Binst D, Daminet S.","Domest Anim Endocrinol. 2009 Jan;36(1):45-56. doi: 10.1016/j.domaniend.2008.10.001. Epub 2008 Nov 7.","van Hoek I","Domest Anim Endocrinol","2009","2008/11/18","","","10.1016/j.domaniend.2008.10.001"
"16847937","Effect of protective filters on fire fighter respiratory health during simulated bushfire smoke exposure","De Vos AJ, Cook A, Devine B, Thompson PJ, Weinstein P.","Am J Ind Med. 2006 Sep;49(9):740-50. doi: 10.1002/ajim.20369.","De Vos AJ","Am J Ind Med","2006","2006/07/19","","","10.1002/ajim.20369"
"12087444","Image processing and enhancement provided by commercial dental software programs","Lehmann TM, Troeltsch E, Spitzer K.","Dentomaxillofac Radiol. 2002 Jul;31(4):264-72. doi: 10.1038/sj.dmfr.4600707.","Lehmann TM","Dentomaxillofac Radiol","2002","2002/06/28","","","10.1038/sj.dmfr.4600707"
"19320264","Replacement of hazardous chromium impregnating agent from silver/copper/chromium-impregnated active carbon using triethylenediamine to remove hydrogen sulfide, trichloromethane, ammonia, and sulfur dioxide","Wu LC, Chung YC.","J Air Waste Manag Assoc. 2009 Mar;59(3):258-65. doi: 10.3155/1047-3289.59.3.258.","Wu LC","J Air Waste Manag Assoc","2009","2009/03/27","","","10.3155/1047-3289.59.3.258"
"7747739","Respiratory protection and the risk of Mycobacterium tuberculosis infection","Nicas M.","Am J Ind Med. 1995 Mar;27(3):317-33. doi: 10.1002/ajim.4700270302.","Nicas M","Am J Ind Med","1995","1995/03/01","","","10.1002/ajim.4700270302"
"9856713","Effects of hyperventilation and hypocapnic/normocapnic hypoxemia on renal function and lithium clearance in humans","Vidiendal Olsen N, Christensen H, Klausen T, Fogh-Andersen N, Plum I, Kanstrup IL, Hansen JM.","Anesthesiology. 1998 Dec;89(6):1389-400. doi: 10.1097/00000542-199812000-00016.","Vidiendal Olsen N","Anesthesiology","1998","1998/12/18","","","10.1097/00000542-199812000-00016"
"16842568","Efficacy of environmental measures to decrease the risk of hospital-acquired aspergillosis in patients hospitalised in haematology wards","Berthelot P, Loulergue P, Raberin H, Turco M, Mounier C, Tran Manh Sung R, Lucht F, Pozzetto B, Guyotat D.","Clin Microbiol Infect. 2006 Aug;12(8):738-44. doi: 10.1111/j.1469-0691.2006.01499.x.","Berthelot P","Clin Microbiol Infect","2006","2006/07/18","","","10.1111/j.1469-0691.2006.01499.x"
"8325423","Excimer laser sclerostomy: the in vitro development of a modified open mask delivery system","Allan BD, van Saarloos PP, Russo AV, Cooper RL, Constable IJ.","Eye (Lond). 1993;7 ( Pt 1):47-52. doi: 10.1038/eye.1993.11.","Allan BD","Eye (Lond)","1993","1993/01/01","","","10.1038/eye.1993.11"
"10403868","The use of breathing system filters as oxygen-delivery devices","Wilkes AR, Vaughan RS.","Anaesthesia. 1999 Jun;54(6):552-8. doi: 10.1046/j.1365-2044.1999.00848.x.","Wilkes AR","Anaesthesia","1999","1999/07/15","","","10.1046/j.1365-2044.1999.00848.x"
"6769945","Simple and microbiologically safe portable transport unit for patients requiring protected isolation","Talbot TL, Pizzo PA.","J Clin Microbiol. 1980 Mar;11(3):234-7.","Talbot TL","J Clin Microbiol","1980","1980/03/01","PMC273369","",""
"18198803","Filters reduce the risk of bacterial transmission from contaminated heated humidifiers used with CPAP for obstructive sleep apnea","Ortolano GA, Schaffer J, McAlister MB, Stanchfield I, Hill E, Vandenburgh L, Lewis M, John S, Canonica FP, Cervia JS.","J Clin Sleep Med. 2007 Dec 15;3(7):700-5.","Ortolano GA","J Clin Sleep Med","2007","2008/01/18","PMC2556912","",""
"11406462","Cytochalasin D induces edema formation and lowering of interstitial fluid pressure in rat dermis","Berg A, Rubin K, Reed RK.","Am J Physiol Heart Circ Physiol. 2001 Jul;281(1):H7-13. doi: 10.1152/ajpheart.2001.281.1.H7.","Berg A","Am J Physiol Heart Circ Physiol","2001","2001/06/19","","","10.1152/ajpheart.2001.281.1.H7"
"24109651","Development of a paper-based carbon nanotube sensing microfluidic device for biological detection","Yang SI, Lei KF, Tsai SW, Hsu HT.","Conf Proc IEEE Eng Med Biol Soc. 2013;2013:168-71. doi: 10.1109/EMBC.2013.6609464.","Yang SI","Conf Proc IEEE Eng Med Biol Soc","2013","2013/10/11","","","10.1109/EMBC.2013.6609464"
"12699084","Mechanism independence for texture-modulation detection is consistent with a filter-rectify-filter mechanism","Kingdom FA, Prins N, Hayes A.","Vis Neurosci. 2003 Jan-Feb;20(1):65-76. doi: 10.1017/s0952523803201073.","Kingdom FA","Vis Neurosci","2003","2003/04/18","","","10.1017/s0952523803201073"
"18708856","Peripheral magnetic resonance angiography (MRA) with continuous table movement at 3.0 T: initial experience compared with step-by-step MRA","Kramer H, Zenge M, Schmitt P, Glaser C, Reiser MF, Herrmann KA.","Invest Radiol. 2008 Sep;43(9):627-34. doi: 10.1097/RLI.0b013e31817e90e9.","Kramer H","Invest Radiol","2008","2008/08/19","","","10.1097/RLI.0b013e31817e90e9"
"10530664","Tuberculosis exposure risk in emergency medicine residents","Asimos AW, Kaufman JS, Lee CH, Williams CM, Carter WA, Chiang WK.","Acad Emerg Med. 1999 Oct;6(10):1044-9. doi: 10.1111/j.1553-2712.1999.tb01190.x.","Asimos AW","Acad Emerg Med","1999","1999/10/26","","","10.1111/j.1553-2712.1999.tb01190.x"
"17572736","Filter performance parameters for high-aperture focusing","Sheppard CJ.","Opt Lett. 2007 Jun 15;32(12):1653-5. doi: 10.1364/ol.32.001653.","Sheppard CJ","Opt Lett","2007","2007/06/19","","","10.1364/ol.32.001653"
"24672911","Blood tests and age-related changes in older people","Blann A.","Nurs Times. 2014 Feb 12-18;110(7):22-3.","Blann A","Nurs Times","2014","2014/03/29","","",""
"10825538","Why has porcine VEG protein unusually high stability and suppressed binding ability?","Burova TV, Rabesona H, Choiset Y, Jankowski CK, Sawyer L, Haertlé T.","Biochim Biophys Acta. 2000 May 23;1478(2):267-79. doi: 10.1016/s0167-4838(00)00036-4.","Burova TV","Biochim Biophys Acta","2000","2000/05/29","","","10.1016/s0167-4838(00)00036-4"
"32363851","Facile and Efficient Patterning Method for Silver Nanowires and Its Application to Stretchable Electroluminescent Displays","Lin Y, Yuan W, Ding C, Chen S, Su W, Hu H, Cui Z, Li F.","ACS Appl Mater Interfaces. 2020 May 12. doi: 10.1021/acsami.9b21755. Online ahead of print.","Lin Y","ACS Appl Mater Interfaces","2020","2020/05/05","","","10.1021/acsami.9b21755"
"1756752","The effect of digital unsharp-mask filtering on the signal-to-noise ratio in computed radiography","Miettunen RH, Korhola OA.","Eur J Radiol. 1991 Nov-Dec;13(3):225-8. doi: 10.1016/0720-048x(91)90035-t.","Miettunen RH","Eur J Radiol","1991","1991/11/01","","","10.1016/0720-048x(91)90035-t"
"12426893","[Lung edema follows inspiratory stridor--another pitfall for the anesthesiologist]","Lindenskov PH, Hanem S, Sponheim S.","Tidsskr Nor Laegeforen. 2002 Sep 20;122(22):2184-6.","Lindenskov PH","Tidsskr Nor Laegeforen","2002","2002/11/13","","",""
"1783725","Measuring harmful levels of bacteria in dental aerosols","Earnest R, Loesche W.","J Am Dent Assoc. 1991 Dec;122(12):55-7. doi: 10.14219/jada.archive.1991.0187.","Earnest R","J Am Dent Assoc","1991","1991/12/01","","","10.14219/jada.archive.1991.0187"
"15667159","Breakdown of colloid filtration theory: role of the secondary energy minimum and surface charge heterogeneities","Tufenkji N, Elimelech M.","Langmuir. 2005 Feb 1;21(3):841-52. doi: 10.1021/la048102g.","Tufenkji N","Langmuir","2005","2005/01/26","","","10.1021/la048102g"
"26200885","The Applicability of the Distribution Coefficient, KD, Based on Non-Aggregated Particulate Samples from Lakes with Low Suspended Solids Concentrations","Gormley-Gallagher AM, Douglas RW, Rippey B.","PLoS One. 2015 Jul 22;10(7):e0133069. doi: 10.1371/journal.pone.0133069. eCollection 2015.","Gormley-Gallagher AM","PLoS One","2015","2015/07/23","PMC4511646","","10.1371/journal.pone.0133069"
"32405127","Global risk to the community and clinical setting: Flocking of fake masks and protective gears during the COVID-19 pandemic","Lam SC, Suen LKP, Cheung TCC.","Am J Infect Control. 2020 May 13. doi: 10.1016/j.ajic.2020.05.008. Online ahead of print.","Lam SC","Am J Infect Control","2020","2020/05/15","PMC7219383","","10.1016/j.ajic.2020.05.008"
"10362041","Variability of aerosol delivery via spacer devices in young asthmatic children in daily life","Janssens HM, Devadason SG, Hop WC, LeSouëf PN, De Jongste JC, Tiddens HA.","Eur Respir J. 1999 Apr;13(4):787-91. doi: 10.1034/j.1399-3003.1999.13d15.x.","Janssens HM","Eur Respir J","1999","1999/06/11","","","10.1034/j.1399-3003.1999.13d15.x"
"18082098","[Prognostic significance of creatinine clearance rate in patients with heart failure and normal serum creatinine]","Zamora E, Lupón J, Urrutia A, González B, Mas D, Díez C, Altimir S, Valle V.","Rev Esp Cardiol. 2007 Dec;60(12):1315-8. doi: 10.1157/13113938.","Zamora E","Rev Esp Cardiol","2007","2007/12/18","","","10.1157/13113938"
"10495335","Impact of constant and breath-synchronized nebulization on inhaled mass of nebulized budesonide in infants and children","Nikander K, Bisgaard H.","Pediatr Pulmonol. 1999 Sep;28(3):187-93. doi: 10.1002/(sici)1099-0496(199909)28:3<187::aid-ppul5>3.0.co;2-j.","Nikander K","Pediatr Pulmonol","1999","1999/09/24","","","10.1002/(sici)1099-0496(199909)28:3<187::aid-ppul5>3.0.co;2-j"
"10866336","Lithium: thyroid effects and altered renal handling","Oakley PW, Dawson AH, Whyte IM.","J Toxicol Clin Toxicol. 2000;38(3):333-7. doi: 10.1081/clt-100100941.","Oakley PW","J Toxicol Clin Toxicol","2000","2000/06/24","","","10.1081/clt-100100941"
"11104165","Re-assessment of the renal hydrosaline dysfunction in rats bearing the Walker-256 tumor","Rettori O, Vieira-Matos AN, Gontijo JA.","Ren Fail. 2000 Nov;22(6):769-84. doi: 10.1081/jdi-100101963.","Rettori O","Ren Fail","2000","2000/12/05","","","10.1081/jdi-100101963"
"9674857","Influence of protective isolation on outcome of allogeneic bone marrow transplantation for leukemia","Passweg JR, Rowlings PA, Atkinson KA, Barrett AJ, Gale RP, Gratwohl A, Jacobsen N, Klein JP, Ljungman P, Russell JA, Schaefer UW, Sobocinski KA, Vossen JM, Zhang MJ, Horowitz MM.","Bone Marrow Transplant. 1998 Jun;21(12):1231-8. doi: 10.1038/sj.bmt.1701238.","Passweg JR","Bone Marrow Transplant","1998","1998/07/23","","","10.1038/sj.bmt.1701238"
"31968478","Fabrication of Antimicrobial Nanofiber Air Filter Using Activated Carbon and Cinnamon Essential Oil","Son BC, Park CH, Kim CS.","J Nanosci Nanotechnol. 2020 Jul 1;20(7):4376-4380. doi: 10.1166/jnn.2020.17597.","Son BC","J Nanosci Nanotechnol","2020","2020/01/24","","","10.1166/jnn.2020.17597"
"15637886","Rapid micromethod for the preparation of leucocyte-free haemolysates for the determinaton of pyruvate kinase and other erythrocyte enzymes","Westwood A.","Ann Clin Biochem. 1975 Nov;12(6):263-8. doi: 10.1177/000456327501200168.","Westwood A","Ann Clin Biochem","1975","1975/11/01","","","10.1177/000456327501200168"
"15705325","HEPA/vaccine plan for indoor anthrax remediation","Wein LM, Liu Y, Leighton TJ.","Emerg Infect Dis. 2005 Jan;11(1):69-76. doi: 10.3201/eid1101.040635.","Wein LM","Emerg Infect Dis","2005","2005/02/12","PMC3294362","","10.3201/eid1101.040635"
"7957595","Regional variation in the ratio of sigma 1 to sigma 2 binding in rat brain","Leitner ML, Hohmann AG, Patrick SL, Walker JM.","Eur J Pharmacol. 1994 Jun 23;259(1):65-9. doi: 10.1016/0014-2999(94)90158-9.","Leitner ML","Eur J Pharmacol","1994","1994/06/23","","","10.1016/0014-2999(94)90158-9"
"8724897","Beneficial influence of ketanserin on autoregulation of blood flow in post-ischemic kidneys","Verbeke M, Smöllich B, van de Voorde J, de Ridder L, Lameire N.","J Am Soc Nephrol. 1996 Apr;7(4):621-7.","Verbeke M","J Am Soc Nephrol","1996","1996/04/01","","",""
"8663114","Molecular cloning and identification of N-acyl-D-glucosamine 2-epimerase from porcine kidney as a renin-binding protein","Maru I, Ohta Y, Murata K, Tsukada Y.","J Biol Chem. 1996 Jul 5;271(27):16294-9. doi: 10.1074/jbc.271.27.16294.","Maru I","J Biol Chem","1996","1996/07/05","","","10.1074/jbc.271.27.16294"
"6753015","Digital subtraction angiography using a temporal bandpass filter: associated patient motion properties","Kruger RA, Miller FJ Jr, Nelson JA, Liu PY, Bateman W.","Radiology. 1982 Nov;145(2):315-20. doi: 10.1148/radiology.145.2.6753015.","Kruger RA","Radiology","1982","1982/11/01","","","10.1148/radiology.145.2.6753015"
"1616220","A leap of faith. What can we do to curtail intrainstitutional transmission of tuberculosis?","Iseman MD.","Ann Intern Med. 1992 Aug 1;117(3):251-3. doi: 10.7326/0003-4819-117-3-251.","Iseman MD","Ann Intern Med","1992","1992/08/01","","","10.7326/0003-4819-117-3-251"
"7741737","The carboxy-terminal tail domain of vinculin contains a cryptic binding site for acidic phospholipids","Johnson RP, Craig SW.","Biochem Biophys Res Commun. 1995 May 5;210(1):159-64. doi: 10.1006/bbrc.1995.1641.","Johnson RP","Biochem Biophys Res Commun","1995","1995/05/05","","","10.1006/bbrc.1995.1641"
